id,date,total.start,total.end,flow,weekday,Name,District,Public,Total.docks,bikelanedist,tstopdist
1,2019-09-01,0,2,2,Sunday,18 Dorrance Warehouse,NA,NA,NA,254.410069996962,326.549989741035
3,2019-09-01,32,32,0,Sunday,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,Boston,Yes,15,37.0009755888405,449.954975677656
4,2019-09-01,36,38,2,Sunday,Tremont St at E Berkeley St,Boston,Yes,19,211.062858399656,334.20710671934
5,2019-09-01,51,37,-14,Sunday,Northeastern University - North Parking Lot,Boston,Yes,0,130.301865280628,200.623821481957
6,2019-09-01,56,57,1,Sunday,Cambridge St at Joy St,Boston,Yes,15,127.940755213516,285.83553570552
7,2019-09-01,19,23,4,Sunday,Fan Pier,Boston,Yes,15,4.07043548656815,221.187648443588
8,2019-09-01,19,23,4,Sunday,Union Square - Brighton Ave at Cambridge St,Boston,Yes,19,27.2493856110788,529.164604000248
9,2019-09-01,74,83,9,Sunday,Commonwealth Ave at Agganis Way,Boston,Yes,15,8.30497350717378,22.5750205646433
10,2019-09-01,59,61,2,Sunday,B.U. Central - 725 Comm. Ave.,Boston,Yes,11,9.73731554909177,110.147331759678
11,2019-09-01,25,29,4,Sunday,Longwood Ave at Binney St,Boston,Yes,15,13.2240262564396,440.607913190437
12,2019-09-01,41,42,1,Sunday,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Boston,Yes,18,12.1051867949528,134.039098310174
13,2019-09-01,22,22,0,Sunday,Boston Medical Center - E Concord St at Harrison Ave,Boston,Yes,19,205.528835198876,231.107036777373
14,2019-09-01,35,33,-2,Sunday,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,Boston,Yes,25,50.633071758277,306.706374413058
15,2019-09-01,20,17,-3,Sunday,Brighton Mills - 370 Western Ave,Boston,Yes,15,10.6754960246955,1356.15705749185
16,2019-09-01,31,30,-1,Sunday,Back Bay T Stop - Dartmouth St at Stuart St,Boston,Yes,19,17.6192568251956,133.513147502602
17,2019-09-01,33,23,-10,Sunday,Soldiers Field Park - 111 Western Ave,Boston,Yes,15,10.485803165791,1085.99658566927
19,2019-09-01,49,51,2,Sunday,Park Dr at Buswell St,Boston,Yes,15,7.09393506491699,211.906614030851
20,2019-09-01,101,122,21,Sunday,Aquarium T Stop - 200 Atlantic Ave,Boston,Yes,23,39.5541216989071,60.6526658518969
21,2019-09-01,44,34,-10,Sunday,Prudential Center - 101 Huntington Ave,Boston,Yes,18,32.0227333238324,94.685636818552
22,2019-09-01,62,51,-11,Sunday,South Station - 700 Atlantic Ave,Boston,Yes,47,10.5400491474276,53.8447200541226
23,2019-09-01,77,81,4,Sunday,Boston City Hall - 28 State St,Boston,Yes,21,33.4960563278972,20.6095897416495
24,2019-09-01,48,46,-2,Sunday,Seaport Square - Seaport Blvd at Northern Ave,Boston,Yes,19,15.4762000515065,231.159308601827
25,2019-09-01,30,30,0,Sunday,South End Library - Tremont St at W Newton St,Boston,Yes,15,244.15461181728801,375.871366211238
26,2019-09-01,50,49,-1,Sunday,Washington St at Waltham St,Boston,Yes,15,134.993439348208,26.0914376033871
27,2019-09-01,37,42,5,Sunday,Roxbury Crossing T Stop - Columbus Ave at Tremont St,Boston,Yes,23,7.21485424669012,77.1986180541441
29,2019-09-01,10,10,0,Sunday,Innovation Lab - 125 Western Ave at Batten Way,Boston,Yes,19,10.5346377044995,1235.11443735503
30,2019-09-01,17,25,8,Sunday,Brigham Circle - Francis St at Huntington Ave,Boston,Yes,15,8.34342898881258,29.95379554947
31,2019-09-01,11,10,-1,Sunday,Seaport Hotel - Congress St at Seaport Ln,Boston,Yes,19,113.84016326286,94.1499095566576
33,2019-09-01,97,89,-8,Sunday,Kenmore Square,Boston,Yes,27,1.35781104491186,124.895279820423
35,2019-09-01,30,34,4,Sunday,Arch St at Franklin St,Boston,Yes,0,21.2242897274061,188.400903687114
36,2019-09-01,78,68,-10,Sunday,Copley Square - Dartmouth St at Boylston St,Boston,Yes,33,7.8050387291808,48.1215484432905
37,2019-09-01,10,10,0,Sunday,New Balance - 20 Guest St,Boston,Yes,15,123.291945197309,1105.17320766162
39,2019-09-01,34,43,9,Sunday,Washington St at Rutland St,Boston,Yes,27,324.187430538133,30.1668172907283
40,2019-09-01,69,80,11,Sunday,Lewis Wharf at Atlantic Ave,Boston,Yes,19,16.4825529845093,491.473296161778
41,2019-09-01,83,76,-7,Sunday,Packard's Corner - Commonwealth Ave at Brighton Ave,Boston,Yes,27,8.02762869332691,126.461589375364
42,2019-09-01,99,97,-2,Sunday,Boylston St at Arlington St,NA,NA,NA,20.9648730848941,52.2197789950697
43,2019-09-01,53,61,8,Sunday,Rowes Wharf at Atlantic Ave,Boston,Yes,15,8.7056706765837,282.770575303433
44,2019-09-01,38,56,18,Sunday,Congress St at Boston City Hall,Boston,Yes,23,173.464036931743,181.420120525163
46,2019-09-01,108,97,-11,Sunday,Christian Science Plaza - Massachusetts Ave at Westland Ave,Boston,Yes,19,12.7111170225871,127.771388780441
47,2019-09-01,86,88,2,Sunday,Cross St at Hanover St,Boston,Yes,19,10.1467687642953,151.744505186652
48,2019-09-01,20,21,1,Sunday,Post Office Square,Boston,Yes,0,3.01103166981185,363.997089623799
49,2019-09-01,36,32,-4,Sunday,Stuart St at Charles St,Boston,Yes,18,9.45423135734839,250.411369824645
50,2019-09-01,38,31,-7,Sunday,Boylston St at Berkeley St,Boston,Yes,15,93.065772842288,202.0968466778
51,2019-09-01,13,12,-1,Sunday,Washington St at Lenox St,Boston,Yes,15,226.062007195031,18.9484532362003
52,2019-09-01,111,103,-8,Sunday,Newbury St at Hereford St,Boston,Yes,0,25.7553354292006,138.661930409674
53,2019-09-01,138,128,-10,Sunday,Beacon St at Massachusetts Ave,Boston,Yes,0,5.76054832521979,377.007635304831
54,2019-09-01,78,73,-5,Sunday,Tremont St at West St,Boston,Yes,15,151.726159056425,160.648476929942
55,2019-09-01,116,114,-2,Sunday,Boylston St at Massachusetts Ave,Boston,Yes,15,4.90545178384023,102.025335874774
56,2019-09-01,6,6,0,Sunday,Dudley Square - Bolling Building,Boston,Yes,18,46.1102972209678,19.5957690330284
57,2019-09-01,40,43,3,Sunday,Columbus Ave at Massachusetts Ave,NA,NA,NA,11.8907977026337,233.372025127537
58,2019-09-01,100,109,9,Sunday,Mugar Way at Beacon St,Boston,Yes,19,5.39468228965765,446.235768282152
59,2019-09-01,31,29,-2,Sunday,Chinatown Gate Plaza,Boston,Yes,19,11.1389501052616,273.662832281318
60,2019-09-01,122,116,-6,Sunday,Charles Circle - Charles St at Cambridge St,Boston,Yes,19,81.1598880996801,110.569547320642
61,2019-09-01,73,79,6,Sunday,Boylston St at Fairfield St,Boston,Yes,19,187.930644005315,346.562796502215
63,2019-09-01,8,2,-6,Sunday,Dorchester Ave at Gillette Park,Boston,Yes,15,139.338157954237,162.929454964503
64,2019-09-01,27,34,7,Sunday,Congress St at Sleeper St,Boston,Yes,0,54.1516582624807,250.972242538126
65,2019-09-01,12,14,2,Sunday,Boston Convention and Exhibition Center - Summer St at West Side Dr,Boston,Yes,23,217.294805549097,233.962194075209
66,2019-09-01,27,37,10,Sunday,Commonwealth Ave at Griggs St,Boston,Yes,15,3.34793080944493,140.205785334272
67,2019-09-01,206,203,-3,Sunday,MIT at Mass Ave / Amherst St,Cambridge,Yes,27,11.8243855418109,750.2735282197
68,2019-09-01,233,236,3,Sunday,Central Square at Mass Ave / Essex St,Cambridge,Yes,19,3.60028776897071,72.5037392505895
69,2019-09-01,52,64,12,Sunday,Coolidge Corner - Beacon St at Centre St,Brookline,Yes,19,963.616443649439,179.133172058129
70,2019-09-01,75,92,17,Sunday,Harvard Kennedy School at Bennett St / Eliot St,Cambridge,Yes,23,6.25439249109967,317.101985713578
71,2019-09-01,26,28,2,Sunday,Conway Park - Somerville Avenue,Somerville,Yes,23,370.17632115474,1094.62006664846
72,2019-09-01,3,2,-1,Sunday,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge,Yes,23,1.36350556503259,254.514568306699
73,2019-09-01,83,77,-6,Sunday,Harvard Square at Brattle St / Eliot St,Cambridge,Yes,15,5.11706342881881,185.616425558099
74,2019-09-01,196,213,17,Sunday,Harvard Square at Mass Ave/ Dunster,Cambridge,Yes,19,11.0883410160356,88.7427148471599
75,2019-09-01,33,35,2,Sunday,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,Yes,15,5.86815359041176,346.258279145221
