date,max_temp,min_temp,avg_temp,departure,hdd,cdd,precipitation,snow
9/1/19,72,62,67,-2.5,0,2,0,0
9/2/19,78,62,70,0.8,0,5,1.11,0
9/3/19,76,66,71,2,0,6,0,0
9/4/19,86,65,75.5,6.8,0,11,0.33,0
9/5/19,70,61,65.5,-2.9,0,1,0,0
9/6/19,68,59,63.5,-4.7,1,0,T,0
9/7/19,75,56,65.5,-2.4,0,1,0.03,0
9/8/19,78,61,69.5,1.9,0,5,0,0
9/9/19,70,60,65,-2.3,0,0,0,0
9/10/19,72,63,67.5,0.5,0,3,0,0
9/11/19,87,69,78,11.4,0,13,0,0
9/12/19,76,58,67,0.7,0,2,0.07,0
9/13/19,68,54,61,-5,4,0,0,0
9/14/19,72,53,62.5,-3.1,2,0,0.21,0
9/15/19,81,68,74.5,9.2,0,10,T,0
9/16/19,75,62,68.5,3.6,0,4,0,0
9/17/19,70,59,64.5,-0.1,0,0,0,0
9/18/19,65,53,59,-5.2,6,0,0,0
9/19/19,65,50,57.5,-6.3,7,0,0,0
9/20/19,79,52,65.5,2,0,1,0,0
9/21/19,83,65,74,10.9,0,9,0,0
9/22/19,89,62,75.5,12.8,0,11,0,0
9/23/19,92,70,81,18.7,0,16,0.13,0
9/24/19,80,63,71.5,9.6,0,7,0.01,0
9/25/19,76,59,67.5,6,0,3,0,0
9/26/19,84,59,71.5,10.3,0,7,0.27,0
9/27/19,74,58,66,5.2,0,1,0,0
9/28/19,82,60,71,10.6,0,6,0,0
9/29/19,75,58,66.5,6.5,0,2,0,0
9/30/19,62,52,57,-2.6,8,0,T,0
